Chunk,GT
Out of Memory: Killed process 9081 (python).; Out of Memory: Killed process 9109 (python).; Out of Memory: Killed process 9123 (python).; Out of Memory: Killed process 7351 (sendmail).; Out of Memory: Killed process 9135 (python).,<start>Out of Memory: Killed process 9081 (python).; Out of Memory: Killed process 9109 (python).; Out of Memory: Killed process 9123 (python).; Out of Memory: Killed process 7351 (sendmail).; Out of Memory: Killed process 9135 (python).</end>
Out of Memory: Killed process 27984 (httpd).; Out of Memory: Killed process 29728 (httpd).; Out of Memory: Killed process 29792 (httpd).; Out of Memory: Killed process 29793 (httpd).; Out of Memory: Killed process 29794 (httpd).,<start>Out of Memory: Killed process 27984 (httpd).</end>
Out of Memory: Killed process 30190 (httpd).; Out of Memory: Killed process 30191 (httpd).; Out of Memory: Killed process 30194 (httpd).; Out of Memory: Killed process 30195 (httpd).; Out of Memory: Killed process 30199 (httpd).,<start>Out of Memory: Killed process 30190 (httpd).</end>
connection from 60.45.101.89 (p15025-ipadfx01yosida.nagano.ocn.ne.jp) at Mon Jan 9 17:36:40 2006; connection from 60.45.101.89 (p15025-ipadfx01yosida.nagano.ocn.ne.jp) at Mon Jan 9 17:37:01 2006; connection from 60.45.101.89 (p15025-ipadfx01yosida.nagano.ocn.ne.jp) at Mon Jan 9 17:37:21 2006; connection from 60.45.101.89 (p15025-ipadfx01yosida.nagano.ocn.ne.jp) at Mon Jan 9 17:37:42 2006; connection from 60.45.101.89 (p15025-ipadfx01yosida.nagano.ocn.ne.jp) at Mon Jan 9 17:38:03 2006,<start>normal</end>
Out of Memory: Killed process 1973 (httpd).; Out of Memory: Killed process 1974 (httpd).; Out of Memory: Killed process 1955 (python).; Out of Memory: Killed process 1975 (httpd).; Out of Memory: Killed process 1982 (httpd).,<start>Out of Memory: Killed process 1973 (httpd).</end>
[<02129a95>] acct_process+0x15/0x1f; [<02119ccc>] do_exit+0x9f/0x2e3; [<0211476a>] do_page_fault+0x362/0x446; [<021529bb>] d_alloc+0x38/0x1b0; [<02152b72>] d_instantiate+0x3f/0x42,<start>normal</end>
connection from 66.98.170.19 (www.zajelgate.net) at Sun Jan 8 16:24:13 2006; connection from 66.98.170.19 (www.zajelgate.net) at Sun Jan 8 16:24:13 2006; connection from 66.98.170.19 (www.zajelgate.net) at Sun Jan 8 16:24:13 2006; connection from 66.98.170.19 (www.zajelgate.net) at Sun Jan 8 16:24:13 2006; connection from 66.98.170.19 (www.zajelgate.net) at Sun Jan 8 16:24:13 2006,<start>normal</end>
Out of Memory: Killed process 28801 (httpd).; Out of Memory: Killed process 28802 (httpd).; Out of Memory: Killed process 28811 (httpd).; Out of Memory: Killed process 28812 (httpd).; Out of Memory: Killed process 28813 (httpd).,<start>Out of Memory: Killed process 28801 (httpd).</end>
"Bluetooth: L2CAP ver 2.1; Bluetooth: RFCOMM ver 1.2; Bluetooth: RFCOMM socket layer initialized; Bluetooth: RFCOMM TTY layer initialized; parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",<start>normal</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.75.224.23 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.75.224.23 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.75.224.23 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.75.224.23 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.75.224.23 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.75.224.23 user=root</end>
Out of Memory: Killed process 29316 (python).; Out of Memory: Killed process 29321 (httpd).; Out of Memory: Killed process 29322 (httpd).; Out of Memory: Killed process 29323 (httpd).; Out of Memory: Killed process 29324 (httpd).,<start>Out of Memory: Killed process 29316 (python).; Out of Memory: Killed process 29321 (httpd).; Out of Memory: Killed process 29322 (httpd).; Out of Memory: Killed process 29323 (httpd).; Out of Memory: Killed process 29324 (httpd).</end>
Out of Memory: Killed process 24600 (httpd).; Out of Memory: Killed process 24602 (httpd).; Out of Memory: Killed process 24603 (httpd).; connection from 64.73.224.182 (64-73-224-182.cust.telepacific.net) at Sat Dec 3 07:55:18 2005; connection from 64.73.224.182 (64-73-224-182.cust.telepacific.net) at Sat Dec 3 07:55:18 2005,<start>Out of Memory: Killed process 24600 (httpd).</end>
check pass; user unknown; check pass; user unknown; check pass; user unknown; Out of Memory: Killed process 18722 (httpd).; Out of Memory: Killed process 18492 (httpd).,<start>Out of Memory: Killed process 18722 (httpd).</end>
Out of Memory: Killed process 30470 (httpd).; Out of Memory: Killed process 30541 (python).; Out of Memory: Killed process 30543 (httpd).; Out of Memory: Killed process 30554 (python).; Out of Memory: Killed process 30557 (httpd).,<start>Out of Memory: Killed process 30470 (httpd).</end>
Out of Memory: Killed process 28610 (httpd).; Out of Memory: Killed process 28611 (httpd).; Out of Memory: Killed process 28612 (httpd).; Out of Memory: Killed process 28613 (httpd).; Out of Memory: Killed process 28614 (httpd).,<start>Out of Memory: Killed process 28610 (httpd).</end>
connection from 68.236.199.200 (static-68-236-199-200.nwrk.east.verizon.net) at Tue Sep 6 16:03:42 2005; connection from 68.236.199.200 (static-68-236-199-200.nwrk.east.verizon.net) at Tue Sep 6 16:03:42 2005; connection from 68.236.199.200 (static-68-236-199-200.nwrk.east.verizon.net) at Tue Sep 6 16:03:42 2005; session opened for user cyrus by (uid=0); session closed for user cyrus,<start>normal</end>
Switching to runlevel: 6; session closed for user root; removing device node '/udev/vcsa4'; removing device node '/udev/vcs5'; removing device node '/udev/vcsa5',<start>normal</end>
Out of Memory: Killed process 25356 (httpd).; Out of Memory: Killed process 25357 (httpd).; Out of Memory: Killed process 25358 (httpd).; Out of Memory: Killed process 25367 (httpd).; Out of Memory: Killed process 25368 (httpd).,<start>Out of Memory: Killed process 25356 (httpd).</end>
Out of Memory: Killed process 31863 (httpd).; Out of Memory: Killed process 31864 (httpd).; Out of Memory: Killed process 31865 (httpd).; Out of Memory: Killed process 31868 (httpd).; Out of Memory: Killed process 31869 (httpd).,<start>Out of Memory: Killed process 31863 (httpd).</end>
Out of Memory: Killed process 6687 (httpd).; Out of Memory: Killed process 6341 (sendmail).; Out of Memory: Killed process 6688 (httpd).; Out of Memory: Killed process 6689 (httpd).; Out of Memory: Killed process 6707 (httpd).,<start>Out of Memory: Killed process 6687 (httpd).</end>
Out of Memory: Killed process 30461 (httpd).; Out of Memory: Killed process 30462 (httpd).; Out of Memory: Killed process 30148 (sendmail).; Out of Memory: Killed process 30463 (httpd).; Out of Memory: Killed process 30464 (httpd).,<start>Out of Memory: Killed process 30461 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249 user=guest; check pass; user unknown; session opened for user cyrus by (uid=0); session closed for user cyrus; ALERT exited abnormally with [1],<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249 user=guest; check pass; user unknown; ALERT exited abnormally with [1]</end>
Out of Memory: Killed process 12410 (mysqld).; Out of Memory: Killed process 12427 (mysqld).; Out of Memory: Killed process 12447 (mysqld).; Out of Memory: Killed process 12470 (mysqld).; Out of Memory: Killed process 2329 (httpd).,<start>Out of Memory: Killed process 12410 (mysqld).</end>
Out of Memory: Killed process 9861 (httpd).; Out of Memory: Killed process 9856 (python).; Out of Memory: Killed process 9866 (httpd).; Out of Memory: Killed process 9867 (httpd).; Out of Memory: Killed process 9868 (httpd).,<start>Out of Memory: Killed process 9861 (httpd).</end>
Out of Memory: Killed process 21748 (httpd).; Out of Memory: Killed process 21756 (httpd).; Out of Memory: Killed process 21770 (httpd).; Out of Memory: Killed process 21790 (httpd).; Out of Memory: Killed process 21791 (httpd).,<start>Out of Memory: Killed process 21748 (httpd).</end>
ttloop: read: Connection timed out; ttloop: read: Connection timed out; ttloop: read: Connection timed out; ttloop: read: Connection timed out; ttloop: read: Connection timed out,<start>ttloop: read: Connection timed out</end>
Out of Memory: Killed process 6274 (httpd).; Out of Memory: Killed process 6275 (httpd).; Out of Memory: Killed process 6276 (httpd).; Out of Memory: Killed process 6277 (httpd).; Out of Memory: Killed process 6278 (httpd).,<start>Out of Memory: Killed process 6274 (httpd).</end>
Out of Memory: Killed process 3200 (sendmail).; Out of Memory: Killed process 3981 (httpd).; Out of Memory: Killed process 4233 (httpd).; Out of Memory: Killed process 4241 (python).; Out of Memory: Killed process 4244 (httpd).,<start>Out of Memory: Killed process 3200 (sendmail).</end>
"audit: initializing netlink socket (disabled); audit(1127898608.244:0): initialized; Total HugeTLB memory allocated, 0; Initializing random number generator: succeeded; VFS: Disk quotas dquot_6.5.1",<start>normal</end>
Out of Memory: Killed process 7521 (httpd).; Out of Memory: Killed process 7522 (httpd).; Out of Memory: Killed process 7523 (httpd).; Out of Memory: Killed process 7524 (httpd).; Out of Memory: Killed process 7525 (httpd).,<start>Out of Memory: Killed process 7521 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=82.179.185.68 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.200.44.248 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=82.179.185.68 user=test</end>
connection from 84.184.10.83 (p54B80A53.dip0.t-ipconnect.de) at Tue Jan 10 02:01:01 2006; connection from 84.184.10.83 (p54B80A53.dip0.t-ipconnect.de) at Tue Jan 10 02:01:02 2006; connection from 84.184.10.83 (p54B80A53.dip0.t-ipconnect.de) at Tue Jan 10 02:01:02 2006; connection from 84.184.10.83 (p54B80A53.dip0.t-ipconnect.de) at Tue Jan 10 02:01:02 2006; connection from 84.184.10.83 (p54B80A53.dip0.t-ipconnect.de) at Tue Jan 10 02:01:02 2006,<start>normal</end>
"listening on IPv4 interface eth0:12, 63.126.79.85#53; snmpd startup succeeded; listening on IPv4 interface eth0:13, 63.126.79.87#53; NET-SNMP version 5.1.1; listening on IPv4 interface eth0:14, 63.126.79.89#53",<start>normal</end>
connection from 61.199.220.226 (ark.dbstream.co.jp) at Sat Aug 13 11:45:26 2005; connection from 61.199.220.226 (ark.dbstream.co.jp) at Sat Aug 13 11:45:26 2005; connection from 61.199.220.226 (ark.dbstream.co.jp) at Sat Aug 13 11:45:26 2005; connection from 61.199.220.226 (ark.dbstream.co.jp) at Sat Aug 13 11:45:26 2005; connection from 61.199.220.226 (ark.dbstream.co.jp) at Sat Aug 13 11:45:26 2005,<start>normal</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root; connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005; connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005; connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005; connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root</end>
Out of Memory: Killed process 25294 (httpd).; Out of Memory: Killed process 25295 (httpd).; Out of Memory: Killed process 25296 (httpd).; Out of Memory: Killed process 25297 (httpd).; Out of Memory: Killed process 25298 (httpd).,<start>Out of Memory: Killed process 25294 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.206.147 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.206.147 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.206.147 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.206.147 user=test; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.206.147 user=test,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.206.147 user=test</end>
Out of Memory: Killed process 26557 (httpd).; Out of Memory: Killed process 26558 (httpd).; Out of Memory: Killed process 26559 (httpd).; Out of Memory: Killed process 26560 (httpd).; Out of Memory: Killed process 26565 (httpd).,<start>Out of Memory: Killed process 26557 (httpd).</end>
Out of Memory: Killed process 7157 (httpd).; Out of Memory: Killed process 7169 (python).; Out of Memory: Killed process 7174 (httpd).; Out of Memory: Killed process 7175 (httpd).; Out of Memory: Killed process 7176 (httpd).,<start>Out of Memory: Killed process 7157 (httpd).</end>
Out of Memory: Killed process 29366 (httpd).; Out of Memory: Killed process 29367 (httpd).; Out of Memory: Killed process 29368 (httpd).; Out of Memory: Killed process 29369 (httpd).; Out of Memory: Killed process 29370 (httpd).,<start>Out of Memory: Killed process 29366 (httpd).</end>
Out of Memory: Killed process 12066 (python).; Out of Memory: Killed process 12071 (python).; Out of Memory: Killed process 12090 (python).; Out of Memory: Killed process 12097 (python).; Out of Memory: Killed process 11806 (sendmail).,<start>Out of Memory: Killed process 12066 (python).</end>
"httpd: page allocation failure. order:0, mode:0xd2; [<0212ebf3>] __alloc_pages+0x274/0x281; [<0213d341>] read_swap_cache_async+0x41/0x84; [<02135e6d>] do_swap_page+0x64/0x1f9; [<021364a7>] handle_mm_fault+0x9d/0xe2","<start>httpd: page allocation failure. order:0, mode:0xd2</end>"
Out of Memory: Killed process 25897 (httpd).; Out of Memory: Killed process 25898 (httpd).; Out of Memory: Killed process 25907 (httpd).; Out of Memory: Killed process 25908 (httpd).; Out of Memory: Killed process 25909 (httpd).,<start>Out of Memory: Killed process 25897 (httpd).</end>
CPU: L2 cache: 256K; Intel machine check architecture supported.; CPU: Intel Pentium III (Coppermine) stepping 06; Enabling fast FPU save and restore... done.; Enabling unmasked SIMD FPU exception support... done.,<start>normal</end>
Out of Memory: Killed process 6741 (httpd).; Out of Memory: Killed process 6747 (python).; Out of Memory: Killed process 6750 (httpd).; Out of Memory: Killed process 6749 (httpd).; Out of Memory: Killed process 6751 (httpd).,<start>Out of Memory: Killed process 6741 (httpd).</end>
session closed for user news; tty2: invalid character 0x1b in login name; removing device node '/udev/vcsa2'; removing device node '/udev/vcs2'; creating device node '/udev/vcs2',<start>tty2: invalid character 0x1b in login name</end>
Out of Memory: Killed process 3023 (python).; Out of Memory: Killed process 3027 (httpd).; Out of Memory: Killed process 3028 (httpd).; Out of Memory: Killed process 3031 (python).; Out of Memory: Killed process 3033 (httpd).,<start>Out of Memory: Killed process 3023 (python).</end>
Out of Memory: Killed process 1347 (httpd).; Out of Memory: Killed process 1348 (httpd).; Out of Memory: Killed process 1349 (httpd).; Out of Memory: Killed process 1350 (httpd).; Out of Memory: Killed process 1351 (httpd).,<start>Out of Memory: Killed process 1347 (httpd).</end>
Out of Memory: Killed process 5039 (python).; Out of Memory: Killed process 5041 (httpd).; Out of Memory: Killed process 5042 (httpd).; Out of Memory: Killed process 5043 (httpd).; Out of Memory: Killed process 5044 (httpd).,<start>Out of Memory: Killed process 5039 (python).</end>
Out of Memory: Killed process 26352 (httpd).; Out of Memory: Killed process 26353 (httpd).; Out of Memory: Killed process 26346 (python).; Out of Memory: Killed process 26354 (httpd).; Out of Memory: Killed process 26355 (httpd).,<start>Out of Memory: Killed process 26352 (httpd).</end>
Out of Memory: Killed process 26260 (httpd).; Out of Memory: Killed process 26261 (httpd).; Out of Memory: Killed process 26262 (httpd).; Out of Memory: Killed process 26265 (httpd).; Out of Memory: Killed process 26267 (httpd).,<start>Out of Memory: Killed process 26260 (httpd).</end>
Out of Memory: Killed process 32398 (httpd).; Out of Memory: Killed process 32399 (httpd).; Out of Memory: Killed process 32400 (httpd).; Out of Memory: Killed process 32401 (httpd).; Out of Memory: Killed process 32403 (httpd).,<start>Out of Memory: Killed process 32398 (httpd).</end>
Out of Memory: Killed process 4958 (httpd).; Out of Memory: Killed process 4947 (python).; Out of Memory: Killed process 4959 (httpd).; Out of Memory: Killed process 4960 (httpd).; Out of Memory: Killed process 4961 (httpd).,<start>Out of Memory: Killed process 4958 (httpd).</end>
audit(1138296165.211:606989): item=0 name=/bin/bash inode=1044632 dev=00:00; htt startup succeeded; started.; succeeded; crond startup succeeded,<start>normal</end>
audit(1138296118.152:350122): item=0 name=/proc/sys/dev/parport/parport0/autoprobe inode=4026532423 dev=00:00; SCSI subsystem initialized; inserting floppy driver for 2.6.5-1.358; Floppy drive(s): fd0 is 1.44M; FDC 0 is a National Semiconductor PC87306,<start>normal</end>
Out of Memory: Killed process 450 (httpd).; Out of Memory: Killed process 451 (httpd).; Out of Memory: Killed process 452 (httpd).; Out of Memory: Killed process 453 (httpd).; Out of Memory: Killed process 461 (httpd).,<start>Out of Memory: Killed process 450 (httpd).</end>
Out of Memory: Killed process 6308 (python).; Out of Memory: Killed process 6314 (httpd).; Out of Memory: Killed process 6315 (httpd).; Out of Memory: Killed process 6316 (httpd).; Out of Memory: Killed process 6333 (httpd).,<start>Out of Memory: Killed process 6308 (python).</end>
User unknown timed out after 900 seconds at Thu Sep 15 17:45:15 2005; User unknown timed out after 900 seconds at Thu Sep 15 17:45:16 2005; connection from 81.112.58.26 (host26-58.pool81112.interbusiness.it) at Thu Sep 15 18:30:32 2005; connection from 81.112.58.26 (host26-58.pool81112.interbusiness.it) at Thu Sep 15 18:30:32 2005; connection from 81.112.58.26 (host26-58.pool81112.interbusiness.it) at Thu Sep 15 18:30:32 2005,<start>User unknown timed out after 900 seconds at Thu Sep 15 17:45:15 2005</end>
Out of Memory: Killed process 15112 (httpd).; Out of Memory: Killed process 15113 (httpd).; Out of Memory: Killed process 15114 (httpd).; Out of Memory: Killed process 15115 (httpd).; Out of Memory: Killed process 15116 (httpd).,<start>Out of Memory: Killed process 15112 (httpd).</end>
Out of Memory: Killed process 27731 (httpd).; Out of Memory: Killed process 27732 (httpd).; Out of Memory: Killed process 27733 (httpd).; Out of Memory: Killed process 27734 (httpd).; Out of Memory: Killed process 27735 (httpd).,<start>Out of Memory: Killed process 27731 (httpd).</end>
Out of Memory: Killed process 29222 (httpd).; Out of Memory: Killed process 29223 (httpd).; Out of Memory: Killed process 29213 (python).; Out of Memory: Killed process 29226 (httpd).; Out of Memory: Killed process 29227 (httpd).,<start>Out of Memory: Killed process 29222 (httpd).</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=83.228.113.166 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=83.228.113.166 user=root; connection from 89.52.108.44 () at Fri Feb 24 09:13:32 2006; connection from 89.52.108.44 (P6c2c.p.pppool.de) at Fri Feb 24 09:13:32 2006; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=206.51.234.204 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=83.228.113.166 user=root</end>
creating device node '/udev/vcsa1'; creating device node '/udev/vcs5'; removing device node '/udev/vcsa3'; removing device node '/udev/vcs3'; creating device node '/udev/vcsa2',<start>normal</end>
Out of Memory: Killed process 22557 (httpd).; Out of Memory: Killed process 22558 (httpd).; Out of Memory: Killed process 22559 (httpd).; Out of Memory: Killed process 22560 (httpd).; Out of Memory: Killed process 22561 (httpd).,<start>Out of Memory: Killed process 22557 (httpd).</end>
cupsd shutdown succeeded; terminating; xfs shutdown succeeded; jserver shutdown succeeded; Stopping Canna server: succeeded,<start>normal</end>
Out of Memory: Killed process 22613 (httpd).; Out of Memory: Killed process 22614 (httpd).; Out of Memory: Killed process 22615 (httpd).; Out of Memory: Killed process 22731 (httpd).; Out of Memory: Killed process 22745 (httpd).,<start>Out of Memory: Killed process 22613 (httpd).</end>
Out of Memory: Killed process 27124 (httpd).; Out of Memory: Killed process 27144 (httpd).; Out of Memory: Killed process 27136 (httpd).; Out of Memory: Killed process 27145 (httpd).; Out of Memory: Killed process 27146 (httpd).,<start>Out of Memory: Killed process 27124 (httpd).</end>
Out of Memory: Killed process 6081 (httpd).; Out of Memory: Killed process 6082 (httpd).; Out of Memory: Killed process 6083 (httpd).; Out of Memory: Killed process 5623 (sendmail).; Out of Memory: Killed process 5719 (sendmail).,<start>Out of Memory: Killed process 6081 (httpd).</end>
Out of Memory: Killed process 8408 (httpd).; Out of Memory: Killed process 8425 (httpd).; Out of Memory: Killed process 8426 (httpd).; Out of Memory: Killed process 8427 (httpd).; Out of Memory: Killed process 8428 (httpd).,<start>Out of Memory: Killed process 8408 (httpd).</end>
creating device node '/udev/vcs7'; creating device node '/udev/vcsa7'; removing device node '/udev/vcs7'; removing device node '/udev/vcsa7'; creating device node '/udev/vcs7',<start>normal</end>
Out of Memory: Killed process 19370 (python).; Out of Memory: Killed process 19388 (python).; Out of Memory: Killed process 19196 (sendmail).; Out of Memory: Killed process 19414 (python).; Out of Memory: Killed process 19437 (python).,<start>Out of Memory: Killed process 19370 (python).</end>
session closed for user test; session closed for user test; session closed for user test; session closed for user test; session opened for user test by (uid=509),<start>normal</end>
[<021364a7>] handle_mm_fault+0x9d/0xe2; [<02114537>] do_page_fault+0x12f/0x446; [<0211c38d>] proc_dointvec+0x11/0x15; [<0211c01d>] do_proc_dointvec_conv+0x0/0x36; [<0211bdc5>] do_rw_proc+0x79/0x8d,<start>normal</end>
connection from 84.57.172.16 (dslb-084-057-172-016.pools.arcor-ip.net) at Sat Nov 5 06:41:57 2005; connection from 84.57.172.16 (dslb-084-057-172-016.pools.arcor-ip.net) at Sat Nov 5 06:41:58 2005; connection from 84.57.172.16 (dslb-084-057-172-016.pools.arcor-ip.net) at Sat Nov 5 06:42:01 2005; connection from 84.57.172.16 (dslb-084-057-172-016.pools.arcor-ip.net) at Sat Nov 5 06:42:01 2005; connection from 84.57.172.16 (dslb-084-057-172-016.pools.arcor-ip.net) at Sat Nov 5 06:42:01 2005,<start>normal</end>
"rsyncd version 2.6.2 starting, listening on port 873; couldn't add command channel 127.0.0.1#953: not found; couldn't add command channel ::1#953: not found; running; audit(1138296212.406:734909): avc: denied { remove_name } for pid=511 exe=/usr/bin/rhgb name=rhgb-socket dev= ino=1026 scontext=system_u:system_r:kernel_t tcontext=system_u:object_r:ramfs_t tclass=dir",<start>couldn't add command channel 127.0.0.1#953: not found; couldn't add command channel ::1#953: not found; audit(1138296212.406:734909): avc: denied { remove_name } for pid=511 exe=/usr/bin/rhgb name=rhgb-socket dev= ino=1026 scontext=system_u:system_r:kernel_t tcontext=system_u:object_r:ramfs_t tclass=dir</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=219.72.254.36 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=219.72.254.36 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=219.72.254.36 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=219.72.254.36 user=root; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=219.72.254.36 user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=219.72.254.36 user=root</end>
Out of Memory: Killed process 25839 (sendmail).; Out of Memory: Killed process 26062 (sendmail).; Out of Memory: Killed process 26284 (sendmail).; Out of Memory: Killed process 26432 (mrtg).; Out of Memory: Killed process 26471 (httpd).,<start>Out of Memory: Killed process 25839 (sendmail).</end>
connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005; connection from 216.206.24.5 () at Wed Oct 12 21:52:35 2005; connection from 216.206.24.5 () at Wed Oct 12 21:52:36 2005; connection from 216.206.24.5 () at Wed Oct 12 21:52:36 2005; connection from 216.206.24.5 () at Wed Oct 12 21:52:36 2005,<start>normal</end>
Out of Memory: Killed process 13166 (httpd).; Out of Memory: Killed process 14995 (httpd).; Out of Memory: Killed process 14997 (httpd).; Out of Memory: Killed process 15037 (httpd).; Out of Memory: Killed process 15046 (httpd).,<start>Out of Memory: Killed process 13166 (httpd).</end>
[<021361c7>] do_no_page+0xa1/0x235; [<0213647b>] handle_mm_fault+0x71/0xe2; [<02114537>] do_page_fault+0x12f/0x446; [<02115617>] recalc_task_prio+0x141/0x14c; [<0227ecc1>] schedule+0x3ed/0x44d,<start>normal</end>
Out of Memory: Killed process 29399 (httpd).; Out of Memory: Killed process 29400 (httpd).; Out of Memory: Killed process 29401 (httpd).; Out of Memory: Killed process 29402 (httpd).; Out of Memory: Killed process 29403 (httpd).,<start>Out of Memory: Killed process 29399 (httpd).</end>
creating device node '/udev/vcsa2'; creating device node '/udev/vcs2'; removing device node '/udev/vcsa2'; removing device node '/udev/vcs2'; creating device node '/udev/vcsa2',<start>normal</end>
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ned.gcdtech.com user=root; service(sshd) ignoring max retries; 8 > 3; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ned.gcdtech.com user=root; service(sshd) ignoring max retries; 8 > 3; authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ned.gcdtech.com user=root,<start>authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ned.gcdtech.com user=root</end>
Out of Memory: Killed process 8429 (httpd).; Out of Memory: Killed process 8439 (python).; Out of Memory: Killed process 8442 (httpd).; Out of Memory: Killed process 8443 (httpd).; Out of Memory: Killed process 8444 (httpd).,<start>Out of Memory: Killed process 8429 (httpd).</end>
connection from 217.46.152.45 (host217-46-152-45.in-addr.btopenworld.com) at Sat Nov 19 14:15:47 2005; connection from 217.46.152.45 (host217-46-152-45.in-addr.btopenworld.com) at Sat Nov 19 14:15:47 2005; connection from 217.46.152.45 (host217-46-152-45.in-addr.btopenworld.com) at Sat Nov 19 14:15:47 2005; connection from 217.46.152.45 (host217-46-152-45.in-addr.btopenworld.com) at Sat Nov 19 14:15:47 2005; connection from 217.46.152.45 (host217-46-152-45.in-addr.btopenworld.com) at Sat Nov 19 14:15:47 2005,<start>normal</end>
Out of Memory: Killed process 31296 (httpd).; Out of Memory: Killed process 31297 (httpd).; Out of Memory: Killed process 31299 (httpd).; Out of Memory: Killed process 31298 (httpd).; Out of Memory: Killed process 31300 (httpd).,<start>Out of Memory: Killed process 31296 (httpd).</end>
connection from 85.182.21.189 (e182021189.adsl.alicedsl.de) at Mon Nov 14 20:48:03 2005; connection from 85.182.21.189 (e182021189.adsl.alicedsl.de) at Mon Nov 14 20:48:03 2005; connection from 85.182.21.189 (e182021189.adsl.alicedsl.de) at Mon Nov 14 20:48:03 2005; connection from 85.182.21.189 (e182021189.adsl.alicedsl.de) at Mon Nov 14 20:48:03 2005; connection from 85.182.21.189 (e182021189.adsl.alicedsl.de) at Mon Nov 14 20:48:03 2005,<start>normal</end>
Kerberos authentication failed; Kerberos authentication failed; session opened for user test by (uid=509); session opened for user test by (uid=509); session opened for user test by (uid=509),<start>Kerberos authentication failed</end>
Out of Memory: Killed process 2235 (httpd).; Out of Memory: Killed process 2242 (python).; Out of Memory: Killed process 2243 (httpd).; Out of Memory: Killed process 2253 (httpd).; Out of Memory: Killed process 2256 (python).,<start>Out of Memory: Killed process 2235 (httpd).</end>
Out of Memory: Killed process 6699 (httpd).; Out of Memory: Killed process 6703 (python).; Out of Memory: Killed process 6320 (sendmail).; Out of Memory: Killed process 6732 (python).; Out of Memory: Killed process 6742 (python).,<start>Out of Memory: Killed process 6699 (httpd).</end>
Out of Memory: Killed process 32688 (httpd).; Out of Memory: Killed process 32695 (httpd).; Out of Memory: Killed process 32696 (httpd).; Out of Memory: Killed process 32694 (python).; Out of Memory: Killed process 32697 (httpd).,<start>Out of Memory: Killed process 32688 (httpd).</end>
